DE-A96;HBZ;FHBAA;Aachen;Hochschulbibliothek der Fachhochschule Aachen
DE-82;HBZ;BTHAC;Aachen;Universitätsbibliothek der RWTH Aachen
DE-944;SWB;FHAA;Aalen;Hochschulbibliothek Aalen
DE-991;SWB;HSASI;Albstadt;Hochschule Albstadt-Sigmaringen / Bibliothek
DE-1046;BVB;FHBAW;Amberg / Weiden;Bibliothek der Ostbayerischen Technischen Hochschule Amberg-Weiden
DE-1102;BVB;FHBAN;Ansbach;Hochschulbibliothek Ansbach
DE-1043;BVB;FHBAB;Aschaffenburg;Bibliothek der Hochschule für angewandte Wissenschaften Aschaffenburg
DE-Aug4;BVB;FHBA;Augsburg;Bibliothek der Hochschule Augsburg
DE-37;BVB;SUSBA;Augsburg;Staats- und Stadtbibliothek Augsburg
DE-384;BVB;UBA;Augsburg;Universitätsbibliothek Augsburg
DE-473;BVB;UBB;Bamberg;Universitätsbibliothek Bamberg
DE-Bn3;SWB;BAKS;Bautzen;Staatliche Studienakademie
DE-703;BVB;UBBAY;Bayreuth;Universitätsbibliothek Bayreuth
DE-B1533;KOBV;ASH;Berlin;Alice Salomon Hochschule Berlin
DE-B4;GBV;BBAW;Berlin;Berlin-Brandenburgische Akademie der Wissenschaften
DE-B768;KOBV;TFHB;Berlin;Beuth Hochschule für Technik Berlin
DE-523;KOBV;HTW;Berlin;Bibliothek der Hochschule für Technik und Wirtschaft Berlin
DE-B479;KOBV;BAB;Berlin;Bibliothek des Bundesarchivs
DE-B1528;KOBV;MFF;Berlin;Deutsche Kinemathek, Museum für Film und Fernsehen, Bibliothek
DE-B554;WGL;DIW;Berlin;Deutsches Institut für Wirtschaftsforschung
DE-B1556;GBV;EHBER;Berlin;Evangelische Hochschule
DE-B2138;GBV;ZMO;Berlin;Geisteswissenschaftliche Zentren Berlin
DE-2070s;KOBV;FHW;Berlin;Hochschule für Wirtschaft und Recht Berlin
DE-11;KOBV;UBHUB;Berlin;Humboldt-Universität zu Berlin, Universitätsbibliothek
DE-204;GBV;IAI;Berlin;Ibero-Amerikanisches Institut
DE-B1532;GBV;MPIBF;Berlin;Max-Planck-Institut für Bildungsforschung
DE-B2226;GBV;MPIWG;Berlin;Max-Planck-Institut für Wissenschaftsgeschichte
DE-1;GBV;SBBPK;Berlin;Staatsbibliothek zu Berlin, Preußischer Kulturbesitz
DE-B1567;BRB;SWP;Berlin;Stiftung Wissenschaft und Politik
DE-188;KOBV;FUB;Berlin;Universitätsbibliothek der Freien Universität Berlin
DE-83;KOBV;TUBB;Berlin;Universitätsbibliothek der TU Berlin
DE-B170;KOBV;UDK;Berlin;Universitätsbibliothek der Universität der Künste
DE-B1543;KOBV;WZB;Berlin;Wissenschaftszentrum Berlin für Sozialforschung
DE-109;KOBV;ZLB;Berlin;Zentral- und Landesbibliothek Berlin
;;;Bern;BFH, Bibliotheken der Berner Fachhochschule
DE-949;SWB;FHBC;Biberach;Bibliothek der Hochschule Biberach
DE-361;HBZ;UBBIE;Bielefeld;Universitätsbibliothek Bielefeld
DE-956;;EFRWL;Bochum;Evangelische Fachhochschule Rheinland-Westfalen-Lippe / Hochschulbibliothek
DE-Bm40;HBZ;FHBO;Bochum;Hochschulbibliothek der Hochschule Bochum
DE-294;HBZ;RUBO;Bochum;Ruhr-Universität Bochum, Universitätsbibliothek
DE-Bo133;;FES;Bonn;Bibliothek der Friedrich-Ebert-Stiftung
DE-1044;HBZ;FHBRS;Bonn;Hochschul- und Kreisbibliothek Bonn-Rhein-Sieg
DE-Bo408;;CAE;Bonn;Stiftung Caesar
DE-5;HBZ;ULBB;Bonn;Universitäts- und Landesbibliothek Bonn
DE-522;KOBV;FHBRB;Brandenburg;Fachhochschule Brandenburg, Hochschulbibliothek
DE-834;GBV;HBKBS;Braunschweig;Bibliothek der Hochschule für Bildende Künste Braunschweig
DE-Bs78;GBV;GEI;Braunschweig;Georg-Eckert-Institut, Leibniz-Institut für Internationale Schulbuchforschung
DE-84;GBV;TUBS;Braunschweig;Universitätsbibliothek Braunschweig
;;;Bregenz;Vorarlberger Landesbibliothek Bregenz
DE-Brt1;SWB;BABRE;Breitenbrunn;Bibliothek der Staatlichen Studienakademie
DE-46;GBV;SUUB;Bremen;Staats- und Universitätsbibliothek Bremen
;;;Buchs;FHO, Bibliotheken der Fachhochschule Ostschweiz
DE-Ch1;SWB;TUCHE;Chemnitz;Universitätsbibliothek Chemnitz
DE-104;GBV;UBCL;Clausthal;Universitätsbibliothek Clausthal
DE-858;BVB;FHBCO;Coburg;Bibliothek der Hochschule Coburg
DE-70;BVB;LBCO;Coburg;Landesbibliothek Coburg
DE-634;KOBV;TUCB;Cottbus;Universitätsbibliothek Cottbus, Senftenberg
DE-17;HeBIS;TUDA;Darmstadt;Universitäts- und Landesbibliothek der TU Darmstadt
DE-Ds114;HeBIS;FHDA;Darmstadt;Bibliothek der Hochschule Darmstadt
DE-1050;BVB;FHDEG;Deggendorf;Bibliothek der Technischen Hochschule Deggendorf
DE-575;HBZ;HMD;Detmold;Hochschule für Musik Detmold
DE-51;HBZ;LLD;Detmold;Lippische Landesbibliothek Detmold
;;;Dornbirn;Fachhochschule Vorarlberg, Dornbirn
DE-Dm13;HBZ;FHBDO;Dortmund;Fachhochschulbibliothek Dortmund
DE-60;Kalliope;STLB;Dortmund;Stadt- und Landesbibliothek Dortmund
DE-290;HBZ;UBDO;Dortmund;Universitätsbibliothek Dortmund
DE-D161;SWB;BADD;Dresden;Berufsakademie Sachsen,  Staatliche Studienakademie Dresden,  Bibliothek
DE-520;SWB;HTWDD;Dresden;Hochschule für Technik und Wirtschaft Dresden, Bibliothek
DE-14;SWB;SLUB;Dresden;Sächsische Landesbibliothek, Staats- und Universitätsbibliothek Dresden
DE-465;HBZ;UGHE;Duisburg-Essen;Universitätsbibliothek Duisburg-Essen
DE-464;HBZ;UBDU;Duisburg-Essen;Universitätsbibliothek Duisburg-Essen,  Campus Duisburg
DE-Due62;HBZ;FHD;Düsseldorf;Hochschulbibliothek der Hochschule Düsseldorf
DE-1972;HBZ;AAA;Düsseldorf;Hochschulbibliothek der Robert Schumann Hochschule
DE-61;HBZ;ULBD;Düsseldorf;Universitäts- und Landesbibliothek Düsseldorf
DE-824;BVB;UBE;Eichstätt;Universitätsbibliothek Eichstätt-Ingolstadt
DE-Ei6;GBV;BBE;Eisenach;Bibliothek der Dualen Hochschule Gera-Eisenach, Campus Eisenach
;;;Eisenstadt;Fachhochschule Burgenland
DE-755;GBV;FHOOW;Emden;Hochschulbibliothek Emden/Leer
DE-546;GBV;FHEF;Erfurt;Bibliothek der Fachhochschule Erfurt
DE-547;GBV;UBERF;Erfurt;Universitäts- und Forschungsbibliothek Erfurt/Gotha
DE-29;BVB;UBEN;Erlangen;Universitätsbibliothek der FAU Erlangen–Nürnberg
DE-753;SWB;HBES;Esslingen;Hochschulbibliothek Esslingen
DE-Fl3;GBV;HDFL;Flensburg;Zentrale Hochschulbibliothek Flensburg
DE-F197;SWB;HSFK;Frankfurt/Main;Hessische Stiftung Friedens- und Konfliktforschung,  Bibliothek
DE-2177;HeBIS;MPIAE;Frankfurt/Main;Max-Planck-Institut für empirische Ästhetik
DE-2768;;DIF;Frankfurt/Main;Deutsches Filminstitut, Bibliothek
DE-2409;;DIPF;Frankfurt/Main;Deutsches Institut für Internationale Pädagogische Forschung
DE-946;HeBIS;FHF;Frankfurt/Main;Bibliothek der Frankfurt University of Applied Sciences
DE-30;HeBIS;UBFM;Frankfurt/Main;Universitätsbibliothek J. C. Senckenberg
DE-521;KOBV;EUV;Frankfurt/Oder;Universitätsbibliothek der Europa-Universität Viadrina Frankfurt/Oder
DE-105;SWB;TUBFR;Freiberg;Universitätsbibliothek Freiberg
DE-Frei119;SWB;ABI;Freiburg;Arnold-Bergstraesser-Institut
DE-Frei129;SWB;PHBFR;Freiburg;Bibliothek der Pädagogischen Hochschule Freiburg
DE-Frei160;SWB;EHF;Freiburg;Evangelische Hochschule Freiburg, Hochschulbibliothek
DE-Frei50;SWB;HMF;Freiburg;Hochschule für Musik Freiburg
DE-25;SWB;UBFRE;Freiburg;Universitätsbibliothek Freiburg
;;;Freiburg/Schweiz;Kantons- und Universitätsbibliothek Freiburg/Schweiz
DE-Brg3;GBV;THHFR;Friedensau;Hochschulbibliothek Friedensau
DE-66;HeBIS;FHFD;Fulda;Hochschul- und Landesbibliothek Fulda
DE-2165;BVB;WLH;Fürth;Wilhelm Löhe Hochschule
DE-Fn1;SWB;FHFU;Furtwangen;Hochschule Furtwangen, Die Bibliotheken
DE-2083;HeBIS;HBG;Geisenheim;Hochschule Geisenheim
DE-1010;HBZ;FHBGE;Gelsenkirchen;Bibliothek der Westfälischen Hochschule Gelsenkirchen Bocholt Recklinghausen
DE-FGa20;GBV;BBG;Gera;Bibliothek der Dualen Hochschule Gera-Eisenach,  Campus Gera
DE-26;HeBIS;UBGIE;Gießen;Bibliothekssystem der Justus-Liebig-Universität Gießen
DE-974;HeBIS;FHGF;Gießen;Technische Hochschule Mittelhessen Hochschulbibliothek
DE-Gla1;SWB;BAG;Glauchau;Bibliothek der Staatlichen Studienakademie
DE-Goe164;GBV;MPIG;Göttingen;Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften
DE-7;GBV;SUBGO;Göttingen;Niedersächsische Staats- und Universitätsbibliothek Göttingen
;;;Graubünden;Kantonsbibliothek Graubünden
AT-UBG-HB;OBV;UBG;Graz;Karl-Franzens-Universität Graz
AT-UBTUG-HB;OBV;TUBG;Graz;Universitätsbibliothek der Technischen Universität Graz
DE-9;GBV;UBGRW;Greifswald;Universitätsbibliothek Greifswald
DE-Hag4;HBZ;MFHB;Hagen, Iserlohn,  Meschede,  Soest;Fachhochschule Südwestfalen,  Hochschulbibliothek
DE-708;HBZ;FUH;Hagen;Universitätsbibliothek Hagen
DE-Ha125;GBV;KDHAL;Halle (Saale);Bibliothek Burg Giebichenstein Kunsthochschule Halle
DE-2173;GBV;IWH;Halle (Saale);Leibniz-Institut für Wirtschaftsforschung
DE-3;GBV;ULBH;Halle (Saale);Universitäts- und Landesbibliothek Sachsen-Anhalt
DE-1373;GBV;HCUHH;Hamburg;Bibliothek der HafenCity Universität Hamburg
DE-18-26;GBV;HFBK;Hamburg;Bibliothek der Hochschule für bildende Künste
DE-830;GBV;TUHH;Hamburg;Bibliothek der Technischen Universität Hamburg-Harburg
DE-H357;GBV;HIS;Hamburg;Bibliothek des Hamburger Instituts für Sozialforschung
DE-H256;FachInfoUstgBw;FAB;Hamburg;Führungsakademie der Bundeswehr
DE-H221;SWB;GIGA;Hamburg;GIGA German Institute of Global and Area Studies
DE-18-258;GBV;HFMT;Hamburg;Hochschule für Musik und Theater
DE-18-284;GBV;HAWHH;Hamburg;Hochschulinformations- und Bibliotheksservice (HIBS) der HAW-Hamburg
DE-18;GBV;SUBHH;Hamburg;Staats- und Universitätsbibliothek Hamburg und Fachbibliotheken
DE-705;GBV;UBWH;Hamburg;UB der Helmut-Schmidt-Universität Hamburg
DE-206H;GBV;HWWA;Hamburg;ZBW, Deutsche Zentralbibliothek für Wirtschaftswissenschaften, Standort Hamburg
DE-1871;SWB;;Hamm-Lippstadt;Hochschule Hamm-Lippstadt,  Zentrum für Wissensmanagement
DE-996;GBV;HMTMH;Hannover;Bibliothek der Hochschule für Musik,  Theater und Medien Hannover
DE-960-1;GBV;FHH;Hannover;Bibliothek der Hochschule Hannover
DE-960-3;GBV;HMT;Hannover;Bibliothek im Kurt-Schwitters-Forum
DE-35;GBV;GWLB;Hannover;Gottfried Wilhelm Leibniz Bibliothek, Niedersächsische Landesbibliothek
DE-89;GBV;UBTIB;Hannover;Technische Informationsbibliothek / Universitätsbibliothek Hannover
DE-1041;GBV;HFW;Heide;Hochschulbibliothek der Fachhochschule Westküste
DE-He76;SWB;PHHD;Heidelberg;Bibliothek der Pädagogischen Hochschule Heidelberg
DE-16;SWB;UBHE;Heidelberg;Universitätsbibliothek Heidelberg
DE-Hed2;SWB;BAH;Heidenheim;Duale Hochschule Baden-Württemberg Heidenheim Bibliothek
DE-840;SWB;FHHN;Heilbronn;Hochschulbibliothek Heilbronn
DE-Hil2;GBV;UBHI;Hildesheim;Universitätsbibliothek Hildesheim
DE-Hil3;;HAWK;Hildesheim/Holzminden/Göttingen;Bibliothek der Hochschule für angewandte Wissenschaft und Kunst
DE-1051;BVB;FHBHO;Hof;Hochschulbibliothek Hof
DE-1126;HeBIS;EFF;Idstein;Hochschule Fresenius, Idstein
DE-Ilm1;GBV;UBIL;Ilmenau;Universitätsbibliothek Ilmenau
DE-573;BVB;FHBIN;Ingolstadt;Hochschulbibliothek Ingolstadt
AT-UBI-HB;OBV;UBI;Innsbruck;Universitäts- und Landesbibliothek Tirol
DE-J59;GBV;FHJ;Jena;Hochschulbibliothek Ernst-Abbe-Hochschule Jena
DE-27;GBV;THULB;Jena;Thüringer Universitäts- und Landesbibliothek Jena
DE-386;HBZ;UBKL;Kaiserslautern;Universitätsbibliothek Kaiserslautern
DE-31;SWB;BLB;Karlsruhe;Badische Landesbibliothek Karlsruhe
DE-90-8;SWB;DHBW;Karlsruhe;Duale Hochschule Baden-Württemberg Karlsruhe,  Bibliothek
DE-90-4;SWB;FBHKA;Karlsruhe;Fachbibliothek Hochschule Karlsruhe
DE-751;SWB;HSBKA;Karlsruhe;Hochschulbibliothek Karlsruhe (PH)
DE-90;SWB;KIT;Karlsruhe;Karlsruher Institut für Technologie KIT
DE-Ka88;SWB;ZKM;Karlsruhe;Zentrum für Kunst und Medien Karlsruhe / Staatliche Hochschule für Gestaltung,  Bibliothek
DE-34;HeBIS;UBKAS;Kassel;Universitätsbibliothek Kassel
DE-859;BVB;FHBKA;Kempten;Hochschulbibliothek Kempten
DE-8;GBV;UBK;Kiel;Universitätsbibliothek Kiel
DE-206;GBV;ZBW;Kiel;ZBW, Deutsche Zentralbibliothek für Wirtschaftswissenschaften, Standort Kiel
DE-Ki95;GBV;FHKI;Kiel;Zentralbibliothek der Fachhochschule Kiel
;;;Klagenfurt;Fachhochschulbibliothek Kärnten
